,List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),Qty_Remaining,Soldout/not,Sold_day,Sold,SaleRate,Blowout
30,500,I9-9820XBX,7.36E+11,BX80673I99820X,Intel,Core I9,Component,CPU / Processor,Desktop CPU,"Intel Core i9-9820X X-series Skylake Processor 3.3GHz 8.0GT/s 16.5MB LGA 2066 CPU w/o Fan, Retail",845.62,634.215,12,2.5,208.905,Recurring,01-Jan-19,Y,0.49,0,Sold,11,12,1.090909091,11
31,3152,MZ7LH7T6HM,,MZ7LH7T6HMLA-00005,Samsung,SATA3,Component,Solid State Drive,SATA3,Samsung PM883 Series 7.68TB 2.5 inch SATA 6Gb/s Solid State Drive,1096.75,822.5625,12,2.5,271.6875,Recurring,01-Jan-19,Y,0.24,0,Sold,11,12,1.090909091,11
32,2463,FAN-MLX12M,8.84E+11,MLX-D12M-A20PC-R1,Cooler Master,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Cooler Master MasterLiquid ML120R RGB Liquid Cooler for LGA 2066/ 2011-v3/2011/1156/1155/1151/1150/1366/775 & AMD Socket AM4/AM3+/AM3/AM2+/AM2/FM2+/FM2/FM1,98.4,73.8,13,2.5,22.1,Recurring,01-Jan-19,Y,4,0,Sold,11,13,1.181818182,11
33,4125,CA-R6C-WT,8.43E+11,FD-CA-DEF-R6C-WT,Fractal Design,ATX Mid Tower,Component,Case,Computer Case,Fractal Design Define R6 USB-C White No Power Supply ATX Mid Tower (White) ,153.75,115.3125,13,10,28.4375,Recurring,01-Jan-19,Y,31,0,Sold,11,13,1.181818182,11
34,2129,UPS-PRO2KL,8.51E+11,PRO-2000LCD,Maruson,UPS,Component,Power Protection / UPS,UPS,Maruson PowerPro PRO-2000LCD 2000VA/1200W UPS System,182.45,136.8375,13,10,35.6125,Recurring,01-Jan-19,Y,26,0,Sold,11,13,1.181818182,11
35,1610,CAP-44010,8.41E+11,CAP-44010,iMicro,Battery & Charger,Electronics,Battery & Charger,,iMicro CAP-44010 Run Capacitor Oval 440/10,5.94,0.94,14,0,5,Recurring,01-Jan-19,Y,0.4,0,Sold,11,14,1.272727273,11
36,1617,ST-WHI6-1,8.41E+11,ST-WHI6-1,iMicro,Other,Component,Cable,Other,iMicro ST-WHI6-1 1/2-Inch 6-Feet long Electrical Whip Kit for Connecting AC Unit to Control Switch Box,11.27,8.4525,14,2.5,0.3175,Recurring,01-Jan-19,Y,1.78,0,Sold,11,14,1.272727273,11
37,3798,MO-M128MI,8.41E+11,MO-M128MI,iMicro,Mouse,Component,Input & Output Device,Mouse,iMicro MO-M128MI Wired USB Optical Mouse (Black),6.15,4.6125,14,0,1.5375,Recurring,01-Jan-19,Y,0.28,0,Sold,11,14,1.272727273,11
38,4198,PS-275TFX,8.36E+11,SL-275TFX,Apex,Desktop,Component,Power Supply,Desktop,Apex SL-275TFX 275W TFX Power Supply,26.14,19.605,14,2.5,4.035,Recurring,01-Jan-19,Y,2.7,0,Sold,11,14,1.272727273,11
39,3986,CA-3F90RK,8.86E+11,BFA-MSC-3F90RK-RP,BitFenix,Internal PC Power Cable,Component,Cable,Internal PC Power Cable,BitFenix Alchemy Multisleeved 90cm 3Pin Fan Male to 3Pin Fan Female Extension Cable (Red),5.13,0.13,11,0,5,Recurring,01-Jan-19,Y,0.34,0,Sold,11,11,1,11
40,2087,SUG-PE66W,7.31E+11,PE66W,APC,Surge Protection,Component,Power Protection / UPS,Surge Protection,APC PE66W Essential SurgeArrest 6-Outlet/ 120V/ 6 ft/ 1080 Joules Surge Protector,9.02,4.02,11,2.5,2.5,Recurring,01-Jan-19,Y,1.28,0,Sold,11,11,1,11
41,2374,CA-CL12WTA,8.41E+11,CL-F038-PL12WT-A,Thermaltake,120mm,Component,Fan & Heatsink,Case Fan,Thermaltake Riing 120mm White LED Case Fan,11.27,8.4525,11,2.5,0.3175,Recurring,01-Jan-19,Y,0.47,0,Sold,11,11,1,11
42,3987,CA-AC12G6,8.86E+11,BFA-ACL-12GK6-RP,BitFenix,Lighting Kit,Component,Case,Case Accessory,BitFenix Alchemy Connect 12cm LED Strips (Green),7.07,5.3025,11,0,1.7675,Recurring,01-Jan-19,Y,0.2,0,Sold,11,11,1,11
43,2458,FAN-MAMG1C,8.84E+11,MAM-G1CN-924PC-R1,Cooler Master,LGA 1155,Component,Fan & Heatsink,CPU Fan & Heatsink,Cooler Master MasterAir G100M MAM-G1CN-924PC-R1 CPU Fan For Intel LGA 2066/2011-v3/2011/1151/1150/1155/1156/1366/755 & AMD Socket AM4/AM3+/AM3/AM2+/AM2/FM2+/FM2/FM1,37.93,28.4475,11,2.5,6.9825,Recurring,01-Jan-19,Y,1.4,0,Sold,11,11,1,11
44,3945,CA-ENSOMW4,8.86E+11,BFC-ESM-150-WWWGK-RP,BitFenix,ATX Mid Tower,Component,Case,Computer Case,BitFenix ENSO MESH BFC-ESM-150-WWWGK-RP No Power Supply ATX Mid Tower (White),75.85,56.8875,11,3.5,15.4625,Recurring,01-Jan-19,Y,17.65,0,Sold,11,11,1,11
45,3417,MB-B450ARE,8.9E+11,B450 AORUS ELITE,GIGABYTE,Socket AM4,Component,Motherboard,Desktop,GIGABYTE B450 AORUS ELITE Socket AM4/ AMD B450/ DDR4/ Quad-GPU CrossFireX/ SATA3&USB3.1/ M.2/ A&GbE/ ATX Motherboard,113.26,84.945,11,2.5,25.815,Recurring,01-Jan-19,Y,2.56,0,Sold,11,11,1,11
46,1465,ST-C5_7BLU,,C5M-7-BUB,iMicro,Ethernet Cable,Component,Cable,Cat5 Cable,iMicro CAT5E-7BLUE 7ft Molded Cat5e (Blue) ,2.67,2.0025,12,0,0.6675,Recurring,01-Jan-19,Y,0.13,0,Sold,11,12,1.090909091,11
47,2044,CA-2PCCA01,8.16E+11,AH-2PCCA-01,NZXT,Others,Component,Case,Case Accessory,NZXT AH-2PCCA-01 HUE 2 Cable Comb (Add RGB lighting to your sleeved power cables),26.65,19.9875,12,2.5,4.1625,Recurring,01-Jan-19,Y,1,0,Sold,11,12,1.090909091,11
48,2211,PS-SP-750M,8.41E+11,SP-750M,Thermaltake,Desktop,Component,Power Supply,Desktop,Thermaltake SP-750M Smart M Series 750W 80 Plus Bronze ATX12V v2.3 & EPS12V Power Supply,76.88,57.66,12,2.5,16.72,Recurring,01-Jan-19,Y,7,0,Sold,11,12,1.090909091,11
49,336,E7000BR150,7.36E+11,SSDSC2BR150G7XA,Intel,SATA3,Component,Solid State Drive,SATA3,Intel SSD E 7000s Series SSDSC2BR150G7XA 150GB 2.5 inch SATA3 Solid State Drive (MLC),107.62,80.715,12,2.5,24.405,Recurring,01-Jan-19,Y,0.22,0,Sold,11,12,1.090909091,11
50,844,KS-K72327U,85896723271,K72327US,Kensington,Mouse,Component,Input & Output Device,Mouse,Kensington K72327US Wired USB SlimBlade Trackball (Black),107.62,80.715,12,2.5,24.405,Recurring,01-Jan-19,Y,2.2,0,Sold,11,12,1.090909091,11
51,1111,MB-X9DBUFB,6.72E+11,X9DBU-IF-B,Supermicro,Others,Component,Motherboard,Server,Supermicro X9DBU-IF-B LGA1356/ Intel C602/ DDR3/ SATA3/ V&2GbE/ Proprietary UIO Server Motherboard,344.4,258.3,12,2.5,83.6,Recurring,01-Jan-19,Y,5,0,Sold,11,12,1.090909091,11
52,503,I9-7900XBX,7.36E+11,BX80673I97900X,Intel,Core I9,Component,CPU / Processor,Desktop CPU,"Intel Core i9-7900X X-series Skylake Processor 3.3GHz 8.0GT/s 13.75MB L3 LGA 2066 CPU, Retail",978.87,734.1525,12,2.5,242.2175,Recurring,01-Jan-19,Y,0.27,0,Sold,11,12,1.090909091,11
53,476,ST3U16ST1K,8.78E+11,ST3U16ST1K,SUPER TALENT,USB 3.0 ,Component,USB Drive,USB 3.0,Super Talent 16GB Express ST1 USB3.0 Flash Drive ,5.38,4.035,13,0,1.345,Recurring,01-Jan-19,Y,0.06,0,Sold,11,13,1.181818182,11
54,4069,CA-MCP2127,6.72E+11,MCP-220-00127-0B,Supermicro,Accessory,Hardware & Software,Server & Workstation,Accessory,Supermicro MCP-220-00127-0B Gen-3 2.5 NVMe Drive Tray (Black) ,17.42,13.065,13,2.5,1.855,Recurring,01-Jan-19,Y,0.5,0,Sold,11,13,1.181818182,11
55,109,T533UA512H,8.78E+11,T533UA512H(SZ),SUPER TALENT,DDR2 533 (PC2 4200),Component,DRAM Memory,Desktop DRAM,Super Talent DDR2-533 512MB/64x8 CL4 Hynix Chip Memory,12.3,9.225,13,0,3.075,Recurring,01-Jan-19,Y,0.06,0,Sold,11,13,1.181818182,11
56,385,MZ-PZA960B,8.87E+11,MZ-PZA960BW,Samsung,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Samsung 983 ZET Series 960GB Half-height Half-length PCI-Express 3.0 x4 Solid State Drive (Samsung Low Latency V-NAND),1761.98,1321.485,13,2.5,437.995,Recurring,01-Jan-19,Y,1.49,0,Sold,11,13,1.181818182,11
57,746,MSI-INF272,8.24E+11,INFINITEX272,MSI,Desktop System,PC & Laptop,Desktop System,,MSI Infinite X Plus 9SE-272US Intel Core i7-9700K 3.6GHz/ 16GB DDR4/ 2TB HDD + 512GB SSD/ RTX 2080 VENTUS/ Windows 10 Pro Desktop PC (Black-RGB),2233.48,1675.11,13,10,548.37,Recurring,01-Jan-19,Y,33.07,0,Sold,11,13,1.181818182,11
