List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
2860,MO-T55BK,8.41E+11,T55 BLACK,BORND,Mouse,Component,Input & Output Device,Mouse,Bornd T55 Fingerprint Mouse (Black),,,,,,,0.320224719,0.011111111
1178,EN-TS463XU,8.85E+11,TS-463XU-4G-US,QNAP,SMB,Component,NAS / DAS / SAN,NAS,QNAP TS-463XU-4G-US AMD G-Series GX-420MC 2.0GHz/ 4GB DDR3L/ 5GbE/ 4SATA3/ USB3.0/ 4-Bay 1U rackmount NAS for SMB,1382.73,1,Recurring,01 January 2019,L,23,0.02247191,0.011235955
1798,SAM-QM85N,8.87E+11,QM85N,Samsung,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Samsung QM85N 85 inch 3000:1 8ms DVI/HDMI/DisplayPort/RJ45/USB LED LCD Monitor, w/ Speakers",6148.97,1,Recurring,01 January 2019,L,147.5,0.02247191,0.011235955
1106,MB-X11PWT,,X11SPW-TF-O,Supermicro,Others,Component,Motherboard,Server,Supermicro X11SPW-TF-O LGA3647/ Intel C622/ DDR4/ SATA3&USB3.0/ V&2GbE/ Proprietary WIO Server Motherboard,414.1,1,Recurring,01 January 2019,L,3,0.02247191,0.011235955
3494,MB-X10DT4B,6.72E+11,X10DRI-T4+-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X10DRI-T4+-B Dual LGA2011/ Intel C612/ DDR4/ SATA3&USB3.0/ V&4GbE/ Enhanced EATX Server Motherboard,694.95,1,Recurring,01 January 2019,L,5,0.02247191,0.011235955
3525,CA-RSC2ETA,8.37E+11,RSC-2ET-80HP-SA3E-0EL-A,AIC,2U,Component,Server,Server Chassis,AIC RSC-2ET-80HP-SA3E-OEL-C 800W 2U Rackmount Server Chassis,953.25,1,Recurring,01 January 2019,L,51.8,0.02247191,0.011235955
2641,IW-RJ2245H,8.28E+11,RJ224-03-CR550.HE,In Win,JBOD / RAID Storage,Hardware & Software,Server & Workstation,Storage RAID,In-Win RJ224-03-CR550.HE 550W 2U JBOD Storage Enclosure,1832.7,1,Recurring,01 January 2019,L,44.75,0.02247191,0.011235955
1178,EN-TS463XU,8.85E+11,TS-463XU-4G-US,QNAP,SMB,Component,NAS / DAS / SAN,NAS,QNAP TS-463XU-4G-US AMD G-Series GX-420MC 2.0GHz/ 4GB DDR3L/ 5GbE/ 4SATA3/ USB3.0/ 4-Bay 1U rackmount NAS for SMB,,,,,,,0.02247191,0.011235955
1798,SAM-QM85N,8.87E+11,QM85N,Samsung,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Samsung QM85N 85 inch 3000:1 8ms DVI/HDMI/DisplayPort/RJ45/USB LED LCD Monitor, w/ Speakers",,,,,,,0.02247191,0.011235955
1106,MB-X11PWT,,X11SPW-TF-O,Supermicro,Others,Component,Motherboard,Server,Supermicro X11SPW-TF-O LGA3647/ Intel C622/ DDR4/ SATA3&USB3.0/ V&2GbE/ Proprietary WIO Server Motherboard,,,,,,,0.02247191,0.011235955
