List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Cost price,Inventory,Shipping,Profit,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew,Blowout
139,D3-18R8GH4,,HMT41GR7AFR4C-RD,SK hynix,Server DDR3,Component,DRAM Memory,Server DRAM,SK hynix DDR3-1866 8GB/1Gx72 ECC/REG CL13 Hynix Chip Server Memory,73.8,55.35,1,0,18.45,Recurring,01-Jan-19,L,0.08,0.08988764,0.012048193,82.99999842
3071,F26UB16GV,8.41E+11,F26UB16GV,SUPER TALENT,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Super Talent DDR4-2666 16GB Value Memory,76.88,57.66,1,0,19.22,Recurring,01-Jan-19,L,0.05,0.08988764,0.012048193,82.99999842
3062,CT430UX8G,6.50E+11,BLE2K4G4D30AEEA,Crucial,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Crucial Ballistix Elite DDR4-3000 UDIMM 8GB(2x4GB)/512Mx64 CL15 Memory Kit,92.25,69.1875,1,2.5,20.5625,Recurring,01-Jan-19,L,0.58,0.08988764,0.012048193,82.99999842
362,P512M9PEGN,8.44E+11,PX-512M9PEGN,Plextor,PCI-E/Mini PCI-E,Component,Solid State Drive,PCI-E/Mini PCI-E,Plextor M9PeGN 512GB M.2 2280 PCI-Express 3.0 x4 Solid State Drive (TLC),99.43,74.5725,1,2.5,22.3575,Recurring,01-Jan-19,L,0.11,0.08988764,0.012048193,82.99999842
210,W8G8ER16K,7.41E+11,KVR16R11D8/8,Kingston,Server DDR3,Component,DRAM Memory,Server DRAM,Kingston ValueRAM KVR16R11D8/8 DDR3-1600 8GB/1Gx72 ECC/REG CL11 Server Memory ,90.2,67.65,1,0,22.55,Recurring,01-Jan-19,L,0.07,0.08988764,0.012048193,82.99999842
3163,FTM512MU2P,8.41E+11,FTM512MU2P,SUPER TALENT,SATA3,Component,Solid State Drive,SATA3,Super Talent DuraDrive AT7 512GB 2.5 inch SATA3 Solid State Drive (MLC),101.48,76.11,1,2.5,22.87,Recurring,01-Jan-19,L,0.25,0.08988764,0.012048193,82.99999842
46,F3200UB8G,8.41E+11,F3200UB8G,SUPER TALENT,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Super Talent DDR4-3200 8GB/512Mx8 CL16 Memory,101.48,76.11,1,0,25.37,Recurring,01-Jan-19,L,0.1,0.08988764,0.012048193,82.99999842
2630,CA-IWR208S,8.28E+11,RS208-02SC-S500,In Win,2U,Component,Server,Server Chassis,In-Win RS208-02SC-S500 500W 2U Rackmount Server Chassis,150,112.5,1,10,27.5,Recurring,01-Jan-19,L,35,0.08988764,0.012048193,82.99999842
71,W18RB16G4S,,W18RB16G4S,SUPER TALENT,Server DDR3,Component,DRAM Memory,Server DRAM,Super Talent DDR3-1866 16GB/1Gx4 ECC/REG CL13 Samsung Chip Server Memory,123,92.25,1,0,30.75,Recurring,01-Jan-19,L,0.08,0.08988764,0.012048193,82.99999842
1279,LSI-00289,,LSI00289,LSI,Server Software,Component,Software,Server Software,Broadcom LSI LSI00289 MegaRAID FastPath Software - Physical Key for 9265/9285 Series,141.45,106.0875,1,0,35.3625,Recurring,01-Jan-19,L,0.1,0.08988764,0.012048193,82.99999842
